MeetID,Name,Gender,Equipment,Uses Equipment,Division,Bodyweight (Kg),WeightClass (Kg),BestSquat (Kg),BestBench (Kg),BestDeadlift (Kg),Total (Kg),Place,Wilks
1589,Shayla Greer,F,Wraps,Y,int,78.24,C82.5,117.5,67.5,147.5,332.5,1,308.12
5599,Sophia Peterson,F,Wraps,Y,Women 16-17,82.1,C82.5,108.86,49.9,129.27,288.03,1,259.88
5375,Steve Sellers,M,Wraps,Y,Open,90,C90,188.24,142.88,233.6,564.72,1,360.51
5326,Thomas Hurt,M,Wraps,Y,Teenage 13-15,97.79,C100,181.44,124.74,204.12,510.29,1,313.42
1576,Tiffany Kragnes,F,Wraps,Y,m1,58.33,C60,95,52.5,125,272.5,1,310.55
1330,Timothy Albanese,M,Wraps,Y,Pro Master 55-59,121.43,C125,238.14,204.12,256.28,698.53,1,400.52
8241,Tony Shuler,M,Wraps,Y,Open,99.9,C100,275,160,282.5,717.5,2,436.84
5107,Trevor Antonette,M,Wraps,Y,Amateur Junior,87.91,C90,201.85,156.49,233.6,591.94,1,382.54
6418,Tyler Armstrong,M,Wraps,Y,Teen 18-19,103.42,C110,180,155,217.5,552.5,2,331.95
1603,Vincent Rumsey,M,Wraps,Y,nov,81.87,C82.5,125,87.5,160,372.5,3,250.7
8452,Vitaliy Krasnoyarov,M,Wraps,Y,Juniors 20-23,81.6,C82.5,200,160,215,575,2,387.76
5139,Walters Ndi,M,Wraps,Y,Pro Junior 20-23,98.34,C100,306.17,172.37,297.1,775.64,1,475.28
